# WARNING: this file is not sorted!
# db	motif                         	 E-value	adj_p-value	log_adj_p-value	bin_location	bin_width	total_width	sites_in_bin	total_sites	p_success	 p-value	mult_tests
   1	1                             	7.2e-073	   1.5e-075	        -172.29	         0.0	      112	        490	         395	        714	  0.22857	6.1e-078	       244
   1	2                             	2.8e-041	   5.7e-044	         -99.57	         0.0	      183	        493	         346	        504	  0.37120	2.3e-046	       246
   1	3                             	1.9e0000	   4.0e-003	          -5.53	         0.0	       34	        486	          63	        518	  0.06996	1.6e-005	       242
   2	MCRCCCW                       	1.6e-061	   3.3e-064	        -146.17	         0.0	      108	        494	         326	        602	  0.21862	1.3e-066	       246
   2	TTATCW                        	1.7e-039	   3.6e-042	         -95.43	         0.0	      175	        495	         329	        497	  0.35354	1.5e-044	       247
   2	ARATA                         	3.7e-012	   7.7e-015	         -32.50	         0.0	      196	        496	         405	        738	  0.39516	3.1e-017	       247
   2	CCMCACCC                      	5.1e-037	   1.1e-039	         -89.74	         0.0	       99	        493	         219	        449	  0.20081	4.3e-042	       246
   2	ACAGMTG                       	4.7e-003	   9.6e-006	         -11.55	         0.0	      172	        494	          95	        173	  0.34818	3.9e-008	       246
   3	MA0002.2 RUNX1                	1.6e0000	   3.4e-003	          -5.69	         0.0	      128	        490	         264	        805	  0.26122	1.4e-005	       244
   3	MA0006.1 Arnt::Ahr            	3.8e0000	   7.9e-003	          -4.84	         0.0	      145	        495	         225	        609	  0.29293	3.2e-005	       247
   3	MA0027.1 En1                  	8.2e-002	   1.7e-004	          -8.69	         0.0	      130	        490	         293	        860	  0.26531	6.9e-007	       244
   3	MA0029.1 Evi1                 	6.6e-001	   1.4e-003	          -6.59	         0.0	      191	        487	          96	        171	  0.39220	5.7e-006	       243
   3	MA0035.2 Gata1                	2.0e-039	   4.0e-042	         -95.31	         0.0	      194	        490	         490	        756	  0.39592	1.7e-044	       244
   3	MA0036.1 GATA2                	2.7e-006	   5.6e-009	         -19.00	         0.0	      186	        496	         420	        866	  0.37500	2.3e-011	       247
   3	MA0037.1 GATA3                	3.1e-014	   6.5e-017	         -37.28	         0.0	      167	        495	         417	        859	  0.33737	2.6e-019	       247
   3	MA0039.2 Klf4                 	2.6e-063	   5.3e-066	        -150.30	         0.0	      111	        491	         375	        709	  0.22607	2.2e-068	       245
   3	MA0048.1 NHLH1                	5.3e0000	   1.1e-002	          -4.51	         0.0	       89	        489	         113	        437	  0.18200	4.5e-005	       244
   3	MA0079.1 SP1                  	3.1e-005	   6.3e-008	         -16.58	         0.0	      105	        491	         242	        781	  0.21385	2.6e-010	       245
   3	MA0079.2 SP1                  	5.7e0000	   1.2e-002	          -4.43	         0.0	       41	        491	          94	        750	  0.08350	4.9e-005	       245
   3	MA0100.1 Myb                  	7.4e0000	   1.5e-002	          -4.19	         0.0	       35	        493	          66	        572	  0.07099	6.2e-005	       246
